"","Impact_focus","Count","Percentage","Type"
"1","Biodiversity",11,18.3,"Studies"
"2","Biodiversity, Climate change, SDGs",10,16.7,"Studies"
"3","Biodiversity, SDGs",1,1.7,"Studies"
"4","Climate change",29,48.3,"Studies"
"5","Climate change, Biodiversity",2,3.3,"Studies"
"6","Climate change, SDGs",7,11.7,"Studies"
"7","Biodiversity",109,18.1,"Scenarios"
"8","Biodiversity, Climate change, SDGs",183,30.4,"Scenarios"
"9","Biodiversity, SDGs",3,0.5,"Scenarios"
"10","Climate change",249,41.4,"Scenarios"
"11","Climate change, Biodiversity",22,3.7,"Scenarios"
"12","Climate change, SDGs",31,5.2,"Scenarios"
"13","SDGs",4,0.7,"Scenarios"
