"Index","Study_nr","Intervention","Biodiversity_impact","Climate_impact","Interventions_number","color_category","color_category2","size_category","Observations","Proportions_color_cat2","Intervention_labs"
7,6,"Agricultural technology and efficiency",0.286170161640314,-0.0425234619280407,2,"Win-Win","Balanced","0-3",66,54.5,"Agricultural technology and efficiency (n = 66)"
7,6,"Agricultural trade policies",0.286170161640314,-0.0425234619280407,2,"Win-Win","Balanced","0-3",16,50,"Agricultural trade policies (n = 16)"
8,6,"Diet changes",0.453560336787283,-0.148436542796915,2,"Win-Win","Balanced","0-3",99,53.5,"Diet changes (n = 99)"
8,6,"Reduced food waste",0.453560336787283,-0.148436542796915,2,"Win-Win","Balanced","0-3",45,57.8,"Reduced food waste (n = 45)"
9,6,"Nature protection",1.23157189389161,-0.0181908652311972,2,"Win-Win","Biodiversity positive","0-3",84,23.8,"Nature protection (n = 84)"
9,6,"Restoration",1.23157189389161,-0.0181908652311972,2,"Win-Win","Biodiversity positive","0-3",20,20,"Restoration (n = 20)"
10,6,"Agricultural technology and efficiency",1.69160263109751,-0.062548512477482,4,"Win-Win","Biodiversity positive","3-6",66,7.6,"Agricultural technology and efficiency (n = 66)"
10,6,"Agricultural trade policies",1.69160263109751,-0.062548512477482,4,"Win-Win","Biodiversity positive","3-6",16,18.8,"Agricultural trade policies (n = 16)"
10,6,"Nature protection",1.69160263109751,-0.062548512477482,4,"Win-Win","Biodiversity positive","3-6",84,23.8,"Nature protection (n = 84)"
10,6,"Restoration",1.69160263109751,-0.062548512477482,4,"Win-Win","Biodiversity positive","3-6",20,20,"Restoration (n = 20)"
